Index,relPosN,relPosE,UTC
0,0.9725,-0.3422,11:14:23.040 03/07/2019
1,,,
2,0.9559,-0.3384,11:14:23.220 03/07/2019
3,,,
4,0.9551,-0.3328,11:14:23.400 03/07/2019
5,,,
6,0.9487,-0.3398,11:14:23.580 03/07/2019
7,,,
8,0.9520,-0.3406,11:14:23.760 03/07/2019
9,,,
10,0.9336,-0.3216,11:14:23.940 03/07/2019
11,,,
12,0.9206,-0.3159,11:14:24.120 03/07/2019
13,,,
14,0.9148,-0.3160,11:14:24.300 03/07/2019
15,,,
16,0.9090,-0.3208,11:14:24.480 03/07/2019
17,,,
18,0.9112,-0.3240,11:14:24.660 03/07/2019
19,,,
20,0.9129,-0.3248,11:14:24.840 03/07/2019
21,,,
22,0.9056,-0.3334,11:14:25.020 03/07/2019
23,,,
24,0.9031,-0.3169,11:14:25.200 03/07/2019
25,,,
26,0.9051,-0.3086,11:14:25.320 03/07/2019
27,,,
28,0.9063,-0.3053,11:14:25.500 03/07/2019
29,,,
30,0.9100,-0.3053,11:14:25.680 03/07/2019
31,,,
32,0.9123,-0.3063,11:14:25.860 03/07/2019
33,,,
34,0.9141,-0.3069,11:14:26.040 03/07/2019
35,,,
36,0.9310,-0.2840,11:14:26.220 03/07/2019
37,,,
38,0.9408,-0.2746,11:14:26.400 03/07/2019
39,,,
40,0.9463,-0.2734,11:14:26.580 03/07/2019
41,,,
42,0.9487,-0.2740,11:14:26.700 03/07/2019
43,,,
44,0.9514,-0.2748,11:14:26.880 03/07/2019
45,,,
46,0.9530,-0.2450,11:14:27.060 03/07/2019
47,,,
48,0.9553,-0.2331,11:14:27.240 03/07/2019
49,,,
50,0.9580,-0.2331,11:14:27.420 03/07/2019
51,,,
52,0.9594,-0.2350,11:14:27.600 03/07/2019
53,,,
54,0.9603,-0.2364,11:14:27.780 03/07/2019
55,,,
56,0.9607,-0.2374,11:14:27.960 03/07/2019
57,,,
58,0.9589,-0.2382,11:14:28.140 03/07/2019
59,,,
60,0.9544,-0.2164,11:14:28.320 03/07/2019
61,,,
62,0.9534,-0.2080,11:14:28.500 03/07/2019
63,,,
64,0.9537,-0.2068,11:14:28.680 03/07/2019
65,,,
66,0.9552,-0.2077,11:14:28.860 03/07/2019
67,,,
68,0.9559,-0.2095,11:14:29.040 03/07/2019
69,,,
70,0.9330,-0.1897,11:14:29.220 03/07/2019
71,,,
72,0.9230,-0.1813,11:14:29.400 03/07/2019
73,,,
74,0.9215,-0.1800,11:14:29.580 03/07/2019
75,,,
76,0.9250,-0.1790,11:14:29.760 03/07/2019
77,,,
78,0.9290,-0.1799,11:14:29.940 03/07/2019
79,,,
80,0.9315,-0.1807,11:14:30.120 03/07/2019
81,,,
82,0.9328,-0.1793,11:14:30.300 03/07/2019
83,,,
84,0.9328,-0.1793,11:14:30.480 03/07/2019
85,,,
86,0.9328,-0.1791,11:14:30.660 03/07/2019
87,,,
88,0.9075,-0.1582,11:14:30.840 03/07/2019
89,,,
90,0.8975,-0.1500,11:14:31.020 03/07/2019
91,,,
92,0.8972,-0.1482,11:14:31.200 03/07/2019
93,,,
94,0.8875,-0.1157,11:14:31.380 03/07/2019
95,,,
96,0.8863,-0.1034,11:14:31.560 03/07/2019
97,,,
98,0.8888,-0.1026,11:14:31.740 03/07/2019
99,,,
100,0.8926,-0.1051,11:14:31.920 03/07/2019
101,,,
102,0.8954,-0.1064,11:14:32.100 03/07/2019
103,,,
104,0.8966,-0.1074,11:14:32.280 03/07/2019
105,,,
106,0.8935,-0.0696,11:14:32.460 03/07/2019
107,,,
108,0.8902,-0.0554,11:14:32.640 03/07/2019
109,,,
110,0.8903,-0.0535,11:14:32.820 03/07/2019
111,,,
112,0.8907,-0.0558,11:14:33.000 03/07/2019
113,,,
114,0.8924,-0.0566,11:14:33.180 03/07/2019
115,,,
116,0.8928,-0.0575,11:14:33.360 03/07/2019
117,,,
118,0.8927,-0.0575,11:14:33.480 03/07/2019
119,,,
120,0.8920,-0.0575,11:14:33.660 03/07/2019
121,,,
122,0.9060,-0.0218,11:14:33.840 03/07/2019
123,,,
124,0.9120,-0.0079,11:14:34.020 03/07/2019
125,,,
126,0.9149,-0.0052,11:14:34.200 03/07/2019
127,,,
